ligand_id,iupac,glycoct,glytoucan_id
1,Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d",G51331BY
2,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT
3,GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G27025MB
4,Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d",G74621DY
5,Man,"RES
1b:x-dman-HEX-1:5",G70323CJ
6,Man(a1-2)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
LIN
1:1o(2+1)2d",G29313LW
7,Man(a1-3)Man(a1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(3+1)3d",G57306WK
8,Man(a1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d",G07490EK
9,Glc,"RES
1b:x-dglc-HEX-1:5",G15021LG
10,Gal(b1-3)GalNAc(b1-4)[NeuAc(a2-3)]Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:b-dgal-HEX-1:5
6s:n-acetyl
7b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+2)3d
3:3d(5+1)4n
4:2o(4+1)5d
5:5d(2+1)6n
6:5o(3+1)7d",G46613JI
11,Man(a1-3)[Man(a1-6)]Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:1o(6+1)3d",G24260RG
12,NeuAc(a2-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(3+2)3d
3:3d(5+1)4n",G56516VH
13,NeuAc,"RES
1b:x-dgro-dgal-NON-2:6|1:a|2:keto|3:d
2s:n-acetyl
LIN
1:1d(5+1)2n",G81533KY
14,GlcN,"RES
1b:x-dglc-HEX-1:5
2s:amino
LIN
1:1d(2+1)2n",G80384UV
15,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dglc-HEX-1:5
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n",G81262CB
16,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:b-dglc-HEX-1:5
8s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7d(2+1)8n",G98511QW
17,NeuAc(a2-3)Gal(b1-3)GalNAc(b1-4)[NeuAc(a2-8)NeuAc(a2-3)]Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
6s:n-acetyl
7b:b-dgal-HEX-1:5
8s:n-acetyl
9b:b-dgal-HEX-1:5
10b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
11s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(3+2)3d
3:3d(5+1)4n
4:3o(8+2)5d
5:5d(5+1)6n
6:2o(4+1)7d
7:7d(2+1)8n
8:7o(3+1)9d
9:9o(3+2)10d
10:10d(5+1)11n",G05952XV
18,Gal(b1-4)[Fuc(a1-3)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-lgal-HEX-1:5|6:d
4b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(4+1)4d",G01187XC
19,NeuAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-lgal-HEX-1:5|6:d
4b:b-dgal-HEX-1:5
5b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(4+1)4d
4:4o(3+2)5d
5:5d(5+1)6n",G90387AM
20,NeuAc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
4b:b-dglc-HEX-1:5
5s:n-acetyl
6b:a-lgal-HEX-1:5|6:d
7b:b-dgal-HEX-1:5
8b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(3+1)6d
6:4o(4+1)7d
7:7o(3+2)8d
8:8d(5+1)9n",G29014XV
21,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-3)]Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
4b:b-dgal-HEX-1:5
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:b-dgal-HEX-1:5
LIN
1:1o(2+1)2d
2:2d(2+1)3n
3:2o(4+1)4d
4:1o(3+1)5d
5:5d(2+1)6n
6:5o(4+1)7d",G32648VR
22,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:a-lgal-HEX-1:5|6:d
4b:b-dgal-HEX-1:5
5b:a-lgal-HEX-1:5|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(4+1)4d
4:4o(2+1)5d",G49963IQ
23,Fuc(a1-2)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-lgal-HEX-1:5|6:d
LIN
1:1o(4+1)2d
2:2o(2+1)3d",G10422IZ
24,Fuc,"RES
1b:x-lgal-HEX-1:5|6:d",G82576YO
25,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:b-dglc-HEX-1:5
8s:n-acetyl
9b:b-dglc-HEX-1:5
10s:n-acetyl
11b:b-dglc-HEX-1:5
12s:n-acetyl
13b:b-dglc-HEX-1:5
14s:n-acetyl
15b:b-dglc-HEX-1:5
16s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9d(2+1)10n
10:9o(4+1)11d
11:11d(2+1)12n
12:11o(4+1)13d
13:13d(2+1)14n
14:13o(4+1)15d
15:15d(2+1)16n",G92110HD
26,Gal(a1-3)Gal,"RES
1b:x-dgal-HEX-1:5
2b:a-dgal-HEX-1:5
LIN
1:1o(3+1)2d",G78260AJ
27,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgal-HEX-1:5
4b:b-dgal-HEX-1:5
5s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(4+1)3d
3:3o(3+1)4d
4:4d(2+1)5n",G24499XE
28,GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G64581RP
29,Gal(b1-3)GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(3+1)3d",G78436BB
30,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
4b:a-dman-HEX-1:5
5b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:1o(6+1)3d
3:3o(3+1)4d
4:3o(6+1)5d",G51964GO
31,GlcNAc(b1-6)Gal,"RES
1b:x-dgal-HEX-1:5
2b:b-dglc-HEX-1:5
3s:n-acetyl
LIN
1:1o(6+1)2d
2:2d(2+1)3n",G09776OJ
