ncbi,uniprot,protein.protein_id,protein.name,domain,domains.domains_id,length,genus,gene,gene_begin,gene_end,cluster,species,superkingdom,kingdom,phylum,score,nbdomain
1TL2_A,,52228,Tachylectin-2 From Tachypleus Tridentatus (japanese Horseshoe Crab),PropLec5A_tachy,16,236,Tachypleus,,0,0,,Tachypleus tridentatus,Eukaryota,Metazoa,Arthropoda,0.901,5
2BS6_A,,31653,LECTIN FROM RALSTONIA SOLANACEARUM COMPLEXED WITH XYLOGLUCAN FRAGMENT,PropLec6A_RSL_AAL,21,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.434,2
2BT9_A,,31638,Lectin from Ralstonia solanacearum complexed with Me-fucoside,PropLec6A_RSL_AAL,22,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.468,2
3KIF_A,,54672,"The crystal structures of two fragments truncated from 5-bladed beta-propeller lectin, tachylectin-2 (Lib1-B7-18 and Lib2-D2-15)",PropLec5A_tachy,36,106,None,FN582225.1,1,321,,synthetic construct,Unclassified,None,None,0.647,3
3KIH_A,,54667,"The crystal structures of two fragments truncated from 5-bladed beta-propeller lectin, tachylectin-2 (Lib2-D2-15)",PropLec5A_tachy,37,97,None,FN582226.1,1,294,,synthetic construct,Unclassified,None,None,0.729,2
3ZI8_A,,31642,Structure of the R17A mutant of the Ralstonia soleanacerum lectin at 1.5 Angstrom in complex with L-fucose,PropLec6A_RSL_AAL,46,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.465,2
3ZW0_B,,6559,Structure of BambL lectin from Burkholderia ambifaria,PropLec6A_RSL_AAL,47,87,Burkholderia,,0,0,,Burkholderia ambifaria AMMD,Bacteria,None,Proteobacteria,0.439,2
4AGT_A,,5213,Crystal Structure of Fucose binding lectin from Aspergillus Fumigatus (AFL) in complex with Fuc1-6GlcNAc.,PropLec6A_RSL_AAL,48,315,Aspergillus,,0,0,,Aspergillus fumigatus,Eukaryota,Fungi,Ascomycota,0.582,6
4CSD_A,,31637,Structure of Monomeric Ralstonia solanacearum lectin,PropLec6A_RSL_AAL,49,272,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.536,6
4I6S_A,,31644,Structure of RSL mutant W76A in complex with L-fucose,PropLec6A_RSL_AAL,51,91,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.463,2
4UP4_A,,17492,"Structure of the recombinant lectin PVL from Psathyrella velutina in complex with GlcNAcb-D-1,3Galactoside",PropLec7B_PVL,56,401,Lacrymaria,,0,0,,Lacrymaria velutina,Eukaryota,Fungi,Basidiomycota,0.886,8
5C2M_A,,25953,The de novo evolutionary emergence of a symmetrical protein is shaped by folding constraints,PropLec5A_tachy,58,250,Nematostella,,0,0,,Nematostella vectensis,Eukaryota,Metazoa,Cnidaria,0.608,5
5C9L_A,,29358,Crystal structure of native PLL lectin from Photorhabdus luminescens at 1.65 A resolution,PropLec7A_PLL,59,369,Photorhabdus,,0,0,,Photorhabdus luminescens,Bacteria,None,Proteobacteria,0.805,7
5C9O_A,,29364,Crystal structure of recombinant PLL lectin from Photorhabdus luminescens at 1.5 A resolution,PropLec7A_PLL,60,381,Photorhabdus,,0,0,,Photorhabdus luminescens,Bacteria,None,Proteobacteria,0.805,7
5MXC_A,,2956,Aleuria aurantia lectin (AAL) N224Q mutant in complex with alpha-methyl-L-fucoside,PropLec6A_RSL_AAL,69,325,Aleuria,,0,0,,Aleuria aurantia,Eukaryota,Fungi,Ascomycota,0.52,6
5O7U_A,,31639,Crystal structure of the 7-Fluorotryptophan RSL lectin in complex with Lewis x tetrasaccharide,PropLec6A_RSL_AAL,71,90,Ralstonia,,0,0,,Ralstonia solanacearum,Bacteria,None,Proteobacteria,0.399,2
